area_key,building_key,config,dld_n_tx,dld_actual_aed,dld_actual_psf,dld_median_sqft,dld_project_en,dld_area_en,nearest_metro,pf_n_sale,pf_asking_aed,pf_p25_asking,pf_asking_psf,pf_building_name,pf_area_name,pf_n_rent,pf_rent_aed,pf_p75_rent,asking_premium_pct,dld_implied_yield_pct,pf_implied_yield_pct
jumeirah village circle,park view,STUDIO,4,650000.0,1384.9469810256612,468.337289,PARK VIEW TOWER,JUMEIRAH VILLAGE CIRCLE,Nakheel Metro Station,12,695000.0,650000.0,1514.92708150981,Park View Tower,Jumeirah Village Circle,12,54999.5,60000.0,6.923076923076923,8.461461538461538,7.913597122302159
dubai sports city,condor golf links 18,STUDIO,19,770489.0,2013.0042989258372,380.396226,CONDOR GOLF LINKS 18,DUBAI SPORTS CITY,Nakheel Metro Station,11,800000.0,760000.0,1995.5654101995565,Condor Golf Links 18,Dubai Sports City,47,59999.0,64999.0,3.8301649991109543,7.787132587227073,7.499875
jumeirah village circle,binghatti gate,1BR,4,905000.0,1047.237134310055,645.511083,Binghatti Gate ,JUMEIRAH VILLAGE CIRCLE,Dubai Internet City,3,950000.0,950000.0,1470.5882352941176,Binghatti Gate,Jumeirah Village Circle,,,,4.972375690607735,,
liwan,symbolic alpha,1BR,4,915000.0,1217.4313576825057,739.47993,Symbolic Alpha,LIWAN,"",6,1029999.5,925000.0,1339.8294762484775,Symbolic Alpha,Liwan,,,,12.568251366120217,,
business bay,capital bay b,STUDIO,11,715000.0,1299.3842956382455,503.965798,CAPITAL BAY B,BUSINESS BAY,Business Bay Metro Station,5,750000.0,750000.0,1783.7301587301588,Capital Bay Tower B,Business Bay,12,65000.0,68000.0,4.895104895104895,9.090909090909092,8.666666666666668
al furjan,gemz,1BR,4,1142500.0,1256.7995619606986,901.0998884999999,GEMZ by Danube ,AL FURJAN,"",10,1300000.0,1185000.0,1553.4302614027633,Gemz by Danube,Al Furjan,21,85000.0,89999.0,13.785557986870897,7.439824945295405,6.538461538461539
jumeirah village circle,ghalia,1BR,6,835000.0,1097.0054341654607,751.4816785,GHALIA,JUMEIRAH VILLAGE CIRCLE,Nakheel Metro Station,38,850000.0,830000.0,1222.0562962962963,Ghalia Tower,Jumeirah Village Circle,9,70000.0,70000.0,1.7964071856287425,8.383233532934131,8.235294117647058
arjan,beverly boulevard,STUDIO,10,751000.0,1885.172400736438,398.371939,BEVERLY BOULEVARD,ARJAN,Sharaf Dg Metro Station,15,730000.0,725000.0,1834.1683417085428,Beverly Boulevard,Arjan,25,60000.0,64980.0,-2.796271637816245,7.989347536617843,8.21917808219178
jumeirah lake towers,concorde,1BR,14,1130000.0,1267.2659233583104,822.4157795,CONCORDE TOWER,JUMEIRAH LAKES TOWERS,Jumeirah Lakes Towers,24,1275000.0,1150000.0,1528.1210489824218,Concorde Tower,Jumeirah Lake Towers,52,77500.0,85000.0,12.831858407079647,6.8584070796460175,6.078431372549019
jumeirah village circle,binghatti tulip,STUDIO,5,650000.0,1878.5051542189608,359.298982,Binghatti Tulip,JUMEIRAH VILLAGE CIRCLE,Dubai Internet City,4,707500.0,700000.0,2140.1741699289546,Binghatti Tulip,Jumeirah Village Circle,7,50000.0,60000.0,8.846153846153847,7.6923076923076925,7.06713780918728
al furjan,westwood,STUDIO,5,800000.0,1908.1515770258598,419.25390500000003,Westwood By Imtiaz,AL FURJAN,Ibn Battuta Metro Station,3,800000.0,800000.0,1904.7619047619048,Westwood By IMTIAZ,Al Furjan,41,65000.0,66990.0,0.0,8.125,8.125
business bay,marquise square,STUDIO,7,1160000.0,1907.3281135276727,612.46591,MARQUISE SQUARE TOWER,BUSINESS BAY,Business Bay Metro Station,12,1225000.0,1160000.0,2143.76330110862,Marquise Square Tower,Business Bay,27,80000.0,90000.0,5.603448275862069,6.896551724137931,6.530612244897959
liwan,wavez,1BR,5,800000.0,1195.279895869367,668.222912,Wavez Residence,LIWAN,"",3,810000.0,810000.0,1216.2162162162163,Wavez Residence,Liwan,6,68999.0,70000.0,1.25,8.624875,8.518395061728395
jumeirah village triangle,cloud,1BR,18,908500.0,1492.9343274967878,599.4415909999999,CLOUD Tower ,JUMEIRAH VILLAGE TRIANGLE,Damac Properties,24,1085000.0,1000000.0,1764.8116821248711,Cloud Tower,Jumeirah Village Triangle,32,76500.0,80000.0,19.427627958172813,8.420473307649972,7.050691244239632
business bay,sol bay,STUDIO,4,1148455.0,2246.943385567002,515.267893,SOL BAY ,BUSINESS BAY,Business Bay Metro Station,6,1147000.0,1075000.0,2201.0427712972783,SOL Bay,Business Bay,26,73500.0,78000.0,-0.126691947007066,6.39990247767653,6.408020924149957
jumeirah village circle,laya mansion,STUDIO,4,550000.0,1282.5528806787295,428.99523450000004,Laya Mansion,JUMEIRAH VILLAGE CIRCLE,Nakheel Metro Station,11,600000.0,599999.0,1470.5882352941176,Laya Mansion,Jumeirah Village Circle,11,55000.0,60000.0,9.090909090909092,10.0,9.166666666666666
meydan one,azizi riviera 26,STUDIO,6,664500.0,1909.054185240275,377.705251,Azizi Riviera 26,MEYDAN ONE,Buj Khalifa Dubai Mall Metro Station,7,730000.0,700000.0,1961.4147909967846,AZIZI Riviera 26,Meydan One,19,50000.0,56299.0,9.857035364936042,7.524454477050415,6.8493150684931505
al furjan,amalia,1BR,10,1150000.0,1357.8805820403645,858.3672055,AMALIA RESIDENCES,AL FURJAN,Ibn Battuta Metro Station,7,1250000.0,1230000.0,1506.0240963855422,Amalia Residences,Al Furjan,10,87499.5,90000.0,8.695652173913043,7.608652173913044,6.99996
meydan one,azizi riviera 43,STUDIO,6,700000.0,1976.662633062661,365.111488,Azizi Riviera 43,MEYDAN ONE,Buj Khalifa Dubai Mall Metro Station,9,720000.0,660000.0,1980.1955445544554,Azizi Riviera 43,Meydan One,31,55000.0,60000.0,2.857142857142857,7.857142857142857,7.638888888888889
