AREA_EN,PROJECT_EN,config,n_tx,median_price,p25_price,median_psf,median_sqft,offplan_share_pct,nearest_metro,nearest_landmark
TOWN SQUARE,TOWN SQUARE ZAHRA,2BR,23,1170000.0,1140000.0,1266.44967740044,906.105102,0.0,"",Dubai Cycling Course
DUBAI SOUTH,CELESTIA,STUDIO,20,532500.0,527000.0,1193.2243411367958,448.8008105,0.0,"",Expo 2020 Site
AL FURJAN,Azizi Plaza Hotel Apartments,STUDIO,16,519500.0,462500.0,1327.9950123963638,388.03859499999993,0.0,Ibn Battuta Metro Station,Expo 2020 Site
AL FURJAN,Azizi Star Hotel Apartments,STUDIO,15,525000.0,500000.0,1359.37068008606,389.330263,0.0,Ibn Battuta Metro Station,Expo 2020 Site
JUMEIRAH LAKES TOWERS,CONCORDE TOWER,1BR,14,1130000.0,1030000.0,1267.2659233583104,822.4157795,0.0,Jumeirah Lakes Towers,Sports City Swimming Academy
DUBAI SOUTH,MAG 5 BOULEVARD,1BR,14,699999.5,600000.0,1187.436147082345,637.3843385,0.0,"",Expo 2020 Site
TOWN SQUARE,LIVA,1BR,14,827500.0,815000.0,1717.896211648792,479.424106,0.0,"",Dubai Cycling Course
TOWN SQUARE,TOWN SQUARE SAFI,2BR,13,1170000.0,1130000.0,1280.2504487107879,931.0773499999999,0.0,"",Dubai Cycling Course
TOWN SQUARE,UNA,1BR,12,744500.0,730000.0,1552.8846069521146,479.53174499999994,0.0,"",Dubai Cycling Course
TOWN SQUARE,RAWDA APARTMENTS,1BR,12,897500.0,870000.0,1268.466236476616,693.7333550000001,0.0,"",Dubai Cycling Course
TOWN SQUARE,TOWN SQUARE JENNA AND WARDA,2BR,12,1335000.0,1300000.0,1389.348986686205,958.202378,0.0,"",Dubai Cycling Course
TOWN SQUARE,RAWDA APARTMENTS,2BR,11,1420000.0,1300000.0,1508.1676932864702,933.6606859999999,0.0,"",Dubai Cycling Course
TOWN SQUARE,HAYAT BOULEVARD,2BR,10,1150000.0,1075000.0,1248.1796782175234,917.730114,0.0,"",Dubai Cycling Course
AL FURJAN,AMALIA RESIDENCES,1BR,10,1150000.0,1140000.0,1357.8805820403645,858.3672055,0.0,Ibn Battuta Metro Station,Expo 2020 Site
