scope_area,building,config,price_aed,size_sqft,discount_vs_tower_pct,implied_yield_pct,tower_asking_yield_pct,tower_median_sale_aed,tower_median_rent_aed,tower_n_sale,tower_n_rent,completion_status,is_verified,is_pf_exclusive,days_listed,agent_name,broker_name,title,share_url,id
Jumeirah Lake Towers,Goldcrest Views 2,STUDIO,675000,346,22.413793103448278,9.185185185185185,7.126436781609195,870000.0,62000.0,9,32,completed,true,false,138,Vishal Wadhwani,VIBGYOR Real Estate,Stylish Studio in JLT | Ideal Investment Property,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-lake-towers-jlt-cluster-j-goldcrest-views-2-15574170.html,15574170
Jumeirah Lake Towers,Goldcrest Views 2,STUDIO,700000,302,19.54022988505747,8.857142857142856,7.126436781609195,870000.0,62000.0,9,32,completed,true,false,18,Mazhar Shahzad,Golden Wave Properties,Near Metro|Next to Bonnington|With All Amenities,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-lake-towers-jlt-cluster-j-goldcrest-views-2-76562646.html,76562646
Jumeirah Lake Towers,Goldcrest Views 2,STUDIO,725000,408,16.666666666666664,8.551724137931034,7.126436781609195,870000.0,62000.0,9,32,completed,true,true,17,Bhawesh Naresh Bharwani,ADROIT REAL ESTATE LLC,Open view studio for sale Goldcrest Views 2,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-lake-towers-jlt-cluster-j-goldcrest-views-2-76986504.html,76986504
Jumeirah Lake Towers,Goldcrest Views 2,STUDIO,749999,409,13.793218390804595,8.266677688903586,7.126436781609195,870000.0,62000.0,9,32,completed,false,false,28,Khuram  Shahzad Malik,Mawaa Real Estate L.L.C,KS-Hot Investor Deal-Near Metro-Furnished Studio,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-lake-towers-jlt-cluster-j-goldcrest-views-2-72317988.html,72317988
Jumeirah Lake Towers,New Dubai Gate 1,1BR,650000,450,13.33333333333333,10.0,8.666666666666668,750000.0,65000.0,10,66,completed,true,false,7,Sabrina Z. Khaidarzoda,ARISTOCRAT LUXURY HOMES REAL ESTATE L.L.C,Prime Location I Furnished Cosy 1 Bedroom Flat,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-lake-towers-jlt-cluster-q-new-dubai-gate-1-81122346.html,81122346
Jumeirah Lake Towers,New Dubai Gate 2,STUDIO,769000,440,8.179104477611943,8.322366710013004,7.641671641791045,837500.0,63999.0,6,19,completed,true,false,117,Priscilla Majorine,LOKHS REAL ESTATE L.L.C,Rented I Furnished I High Floor,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-lake-towers-jlt-cluster-a-new-dubai-gate-2-15987696.html,15987696
Jumeirah Lake Towers,New Dubai Gate 2,STUDIO,769000,440,8.179104477611943,8.322366710013004,7.641671641791045,837500.0,63999.0,6,19,completed,true,false,37,Ammar Ishaq,Aurantius Real Estate,Fully Furnished | Rented | High Floor,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-lake-towers-jlt-cluster-a-new-dubai-gate-2-68674754.html,68674754
Jumeirah Lake Towers,New Dubai Gate 1,1BR,700000,450,6.666666666666665,9.285714285714286,8.666666666666668,750000.0,65000.0,10,66,completed,true,true,19,Rebecca Armstrong,Veer & Sant Real Estate L.L.C.,Fully Furnished | Close Metro | Tenanted,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-lake-towers-jlt-cluster-q-new-dubai-gate-1-76177355.html,76177355
Dubai Marina,Marina Diamond 1,STUDIO,750000,363,6.25,7.333333333333333,6.875000000000001,800000.0,55000.0,5,11,completed,true,false,3,Alisher Saifullin,LUXE SUMMIT REALTY L.L.C,MOTIVATED SALER | NEAR METRO | FURNISHED | VACANT,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-dubai-marina-marina-diamonds-marina-diamond-1-82821873.html,82821873
Dubai Marina,Marina Diamond 1,STUDIO,750000,375,6.25,7.333333333333333,6.875000000000001,800000.0,55000.0,5,11,completed,false,false,108,Imtiyaz Syed,Al Hiba Real Estate,VACANT | STUDIO | SALE,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-dubai-marina-marina-diamonds-marina-diamond-1-16067073.html,16067073
Jumeirah Lake Towers,Lake View Tower,STUDIO,750000,420,6.25,8.666666666666668,8.125,800000.0,65000.0,7,29,completed,true,false,8,Manisha Tyagi,Eloquent Properties LLC,High Floor | Lake View | Investors Deal,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-lake-towers-jlt-cluster-b-lake-view-tower-80702437.html,80702437
