scope_area,building,config,n_sale,median_sale_aed,p25_sale_aed,median_sqft,median_sale_psf,median_days_listed_sale,share_off_plan_pct,n_rent,median_rent_aed,p75_rent_aed,median_days_listed_rent,asking_gross_yield_pct,deal_yield_pct
Jumeirah Lake Towers,Al Waleed Paradise,STUDIO,6,825000.0,819999.0,567.0,1444.9876730834176,42.5,0.0,11,69999.0,74000.0,25.0,8.484727272727273,9.024401249269816
Jumeirah Lake Towers,MAG 214,1BR,6,1150000.0,1150000.0,719.0,1599.8853747023081,41.5,0.0,41,94999.0,108000.0,18.0,8.260782608695653,9.391304347826086
Jumeirah Lake Towers,Global Lake View,1BR,5,1050000.0,1049999.0,639.0,1643.1924882629107,22.0,0.0,6,86500.0,90000.0,29.5,8.238095238095237,8.571436734701653
Jumeirah Lake Towers,Dubai Star,1BR,6,1225000.0,1190000.0,732.5,1624.573453656282,37.5,0.0,21,99999.0,110000.0,18.0,8.163183673469387,9.243697478991598
Jumeirah Lake Towers,Icon Tower 1,1BR,12,1075000.0,1050000.0,747.5,1409.4188275653314,15.0,0.0,28,85000.0,105000.0,20.5,7.906976744186046,10.0
Jumeirah Lake Towers,Lake City Tower,1BR,21,1075000.0,1040000.0,729.0,1508.9163237311386,46.0,0.0,26,84999.0,87000.0,29.5,7.9068837209302325,8.365384615384615
Jumeirah Lake Towers,Lake View Tower,STUDIO,10,832500.0,760000.0,420.0,1936.4216701173223,40.5,0.0,29,65000.0,73999.0,13.0,7.807807807807808,9.73671052631579
Jumeirah Lake Towers,Laguna Tower,1BR,8,1412000.0,1350000.0,937.5,1489.921623475368,20.0,0.0,14,109999.5,120000.0,22.5,7.7903328611898015,8.88888888888889
Jumeirah Lake Towers,New Dubai Gate 2,1BR,18,1225000.0,1124999.0,754.0,1505.7107995846313,17.0,5.555555555555555,24,95000.0,95000.0,18.0,7.755102040816326,8.444451950623955
Jumeirah Lake Towers,New Dubai Gate 2,STUDIO,6,837500.0,769000.0,440.0,1903.409090909091,38.5,0.0,19,63999.0,69900.0,17.0,7.641671641791045,9.089726918075423
Dubai Marina,Marina Diamond 2,1BR,10,949000.0,895000.0,656.0,1519.522920203735,15.0,0.0,10,72499.0,78998.0,13.0,7.639515279241306,8.82659217877095
Jumeirah Lake Towers,Dubai Arch,STUDIO,8,832500.0,829999.0,434.0,1986.6087057999766,14.5,0.0,22,63500.0,74900.0,22.5,7.627627627627627,9.024107257960551
Dubai Marina,Al Majara 2,1BR,5,1600000.0,1600000.0,842.0,1900.2375296912114,5.0,0.0,12,120000.0,120000.0,24.0,7.5,7.5
Jumeirah Lake Towers,Armada Tower 3,1BR,15,1200000.0,1150000.0,877.0,1373.9021329987454,11.0,0.0,13,90000.0,94999.0,12.0,7.5,8.260782608695653
Jumeirah Lake Towers,Lake View Tower,1BR,30,1300000.0,1249999.0,854.0,1469.5550351288057,24.0,0.0,22,97499.5,115000.0,16.0,7.499961538461538,9.200007360005888
Jumeirah Lake Towers,New Dubai Gate 1,1BR,20,870000.0,750000.0,536.5,1577.7777777777778,44.5,0.0,66,65000.0,80000.0,15.0,7.471264367816093,10.666666666666668
Dubai Marina,Zumurud Tower,STUDIO,6,815000.0,800000.0,370.0,2175.675675675676,24.5,0.0,23,60699.0,65000.0,23.0,7.447730061349693,8.125
Jumeirah Lake Towers,Green Lakes Towers 2,1BR,13,1599999.0,1550000.0,981.0,1616.1606060606061,20.0,0.0,31,115000.0,119999.0,28.0,7.187504492190308,7.741870967741936
Jumeirah Lake Towers,Goldcrest Views 2,STUDIO,9,870000.0,725000.0,408.0,1956.5217391304348,28.0,0.0,32,62000.0,68000.0,25.0,7.126436781609195,9.379310344827587
Jumeirah Lake Towers,Madina Tower,1BR,9,1550000.0,1450000.0,1012.0,1527.0935960591132,52.0,0.0,7,110000.0,110000.0,23.0,7.096774193548387,7.586206896551724
Dubai Marina,Sparkle Tower 2,STUDIO,15,1200000.0,1200000.0,413.0,2912.621359223301,18.0,0.0,19,84999.0,85000.0,33.0,7.0832500000000005,7.083333333333333
Jumeirah Lake Towers,Lake Terrace,STUDIO,16,999500.0,920000.0,516.0,1960.0113442994896,44.5,0.0,50,69999.0,75000.0,18.5,7.003401700850426,8.152173913043478
Jumeirah Lake Towers,Green Lakes Towers 1,1BR,10,1577500.0,1575000.0,979.0,1612.9856850715746,40.0,0.0,23,110000.0,110000.0,23.0,6.9730586370839935,6.984126984126984
Jumeirah Lake Towers,Lake Point Tower,1BR,36,1149000.0,1050000.0,936.5,1203.9233365700281,24.0,0.0,44,80000.0,89995.0,22.5,6.962576153176675,8.57095238095238
Dubai Marina,Escan Tower,1BR,23,1150000.0,1099995.0,755.0,1606.6838046272494,26.0,0.0,48,79999.0,85000.0,24.5,6.956434782608696,7.727307851399325
Dubai Marina,Marina Diamond 1,STUDIO,6,800000.0,750000.0,369.0,2143.9334146516467,46.5,0.0,11,55000.0,75000.0,23.0,6.875000000000001,10.0
Jumeirah Lake Towers,Goldcrest Views 1,1BR,6,1600000.0,1475000.0,1111.0,1524.2935934138807,28.5,0.0,14,110000.0,115000.0,32.0,6.875000000000001,7.796610169491526
Dubai Marina,Manchester Tower,1BR,12,1100000.0,950000.0,691.5,1696.8126238461166,18.5,0.0,15,74999.0,80000.0,8.0,6.81809090909091,8.421052631578947
